restaurant_key,restaurant_id,restaurant_name,cuisine,city_key,price_tier,price_symbol,rating,num_ratings,commission_rate,avg_prep_time_mins,is_pure_veg
24,RST-351cadde-4b1d-5c6a-a29e-cbec420daed0,Shukla Fast House,Fast Food,2,Mid,₹₹,5.0,81,0.179,13,True
25,RST-8a7ac3db-f17d-52fb-9b43-0f3194d82d9f,Tandon North House,North Indian,11,Mid,₹₹,3.75,1,0.241,17,True
26,RST-79cc7e7e-be48-5e7b-99ec-9ce4e344cd9c,Pathak South Junction,South Indian,6,Budget,₹,3.76,3,0.248,25,False
27,RST-a9055e7b-b906-50db-a6f2-7620639156b4,Varughese Street Junction,Street Food,1,Premium,₹₹₹,4.63,4,0.161,9,False
28,RST-cb904798-588a-5b86-bacd-79c1b3ad2f96,Bassi Fast Kitchen,Fast Food,14,Mid,₹₹,3.81,2,0.217,11,True
29,RST-dcfa6060-124f-50ef-8776-8d1d7a53ffa2,Kapur Mughlai Biryani House,Mughlai,19,Premium,₹₹₹,4.15,2,0.22,16,True
30,RST-4af39015-8c66-5c75-86b3-abf5bd108c20,Batta Chinese Biryani House,Chinese,3,Mid,₹₹,3.58,1,0.198,12,True
31,RST-9a1d34d9-5c9d-5503-af8b-81eff289cc47,Mall Rolls Kitchen,Rolls,17,Budget,₹,3.8,1,0.208,14,False
32,RST-d5f80ade-82cf-5d03-a17c-fdd59ad82786,Salvi Desserts Kitchen,Desserts,3,Premium,₹₹₹,3.72,0,0.16,21,False
33,RST-49964058-b83f-5c2b-a6d1-b647bb28bed0,Walia Street Foods,Street Food,2,Premium,₹₹₹,2.94,0,0.206,21,False
34,RST-812b4aec-eaa9-53eb-a345-879922eaeccf,Sen North Cafe,North Indian,2,Mid,₹₹,4.8,20,0.215,29,True
35,RST-3b26551d-3df0-5880-886c-9f9ff24ac4b7,Mutti Street Point,Street Food,12,Mid,₹₹,4.25,1,0.19,17,False
36,RST-7bff6aeb-35f9-5d30-8ab8-42e2fa8463eb,Ahluwalia Biryani Kitchen,Biryani,23,Mid,₹₹,4.88,12,0.185,26,False
37,RST-afeb9368-b816-5757-91ed-d2679e334c2f,Ramanathan Beverages Corner,Beverages,12,Mid,₹₹,4.66,4,0.189,22,False
38,RST-317f6b4a-3f4a-55da-8c4b-e11e5e69d18d,Hayer Fast Point,Fast Food,25,Mid,₹₹,4.03,2,0.22,10,True
39,RST-fce885d7-dde5-5b6b-93c5-f17bd13afd52,Natt Fast Point,Fast Food,12,Mid,₹₹,4.29,5,0.236,19,False
40,RST-1c2effc4-4124-50d0-92f6-8b9987cff4b0,Bumb Chinese Foods,Chinese,24,Budget,₹,4.46,1,0.182,19,False
41,RST-ff7d933f-c5db-569e-a73c-c4b6543b7fef,Bakshi Beverages Junction,Beverages,46,Budget,₹,3.89,2,0.225,12,False
42,RST-e9445bbb-e30e-59d5-a3b8-c6790989ff16,Kara South Kitchen,South Indian,6,Budget,₹,4.31,11,0.152,17,False
43,RST-3d0fbdd0-2416-5a41-97d8-bb6932362d87,Sampath Biryani House,Biryani,2,Budget,₹,4.22,2,0.245,21,True
44,RST-fba28e2c-566a-5472-8781-fe516ef3b7da,Borde Fast Foods,Fast Food,2,Mid,₹₹,4.6,6,0.166,21,True
45,RST-5ef3c0b3-acaf-5446-bcdf-0787e931b1ea,Krish Rolls Corner,Rolls,12,Premium,₹₹₹,3.83,2,0.213,14,False
46,RST-549b630e-b6de-5c47-a639-dd668552c206,Hegde Biryani Express,Biryani,10,Budget,₹,3.56,1,0.261,19,False
47,RST-04bc3774-1b45-5f86-92de-0712dfa25b9e,Gala Pizza Corner,Pizza,3,Mid,₹₹,4.39,1,0.204,11,False
48,RST-e50b80b7-9750-53c8-99da-efe2ac047b99,Narayan Biryani Kitchen,Biryani,33,Budget,₹,4.31,4,0.15,14,False
49,RST-dd3a74bd-7fe4-5fab-877f-65c1127c60e6,Mukhopadhyay Pizza Foods,Pizza,44,Mid,₹₹,4.59,1,0.238,24,False
50,RST-0a264c61-c4c0-50be-b47f-64ee4316e2f8,Bhatnagar Pizza Restaurant,Pizza,4,Mid,₹₹,4.65,12,0.164,17,False
51,RST-94c55bc6-9631-5143-9846-7377252f5288,Chatterjee Rolls Dhaba,Rolls,3,Mid,₹₹,4.0,2,0.21,21,False
52,RST-01cd3931-1de5-59ee-9af3-53df0a62b160,Bala Beverages Foods,Beverages,3,Premium,₹₹₹,3.34,1,0.259,23,True
53,RST-f62d8b28-020d-54d3-a541-0c6723338c46,Srinivasan Fast Express,Fast Food,6,Premium,₹₹₹,4.16,1,0.221,9,True
54,RST-72af4c51-a120-5c39-8d89-0e45a37a4a11,Sankaran South Cafe,South Indian,30,Mid,₹₹,3.79,1,0.189,14,False
55,RST-c9ff627d-ea8b-5f99-8eb6-e307c1366c7d,Bajwa Pizza Cafe,Pizza,12,Mid,₹₹,3.67,1,0.239,20,True
56,RST-54f4bef3-135a-59c4-b352-f36224fb6f2d,Natt North Kitchen,North Indian,1,Mid,₹₹,4.26,2,0.213,9,False
57,RST-229b12cf-0b5c-5040-a522-0aced34d83e2,Krishna South Junction,South Indian,8,Mid,₹₹,4.44,3,0.171,30,False
58,RST-2f1c1e0d-3ef5-589c-a6ac-fcba9ca0e3d7,Kota Desserts Foods,Desserts,2,Mid,₹₹,3.73,1,0.252,23,False
59,RST-a3b71f36-082b-5987-a58e-4696e1ee8241,Chokshi Biryani Corner,Biryani,7,Premium,₹₹₹,4.63,137,0.246,18,False
60,RST-fc219f68-9837-5d26-acc8-743a88c7ed5c,Solanki Biryani Point,Biryani,7,Budget,₹,3.95,1,0.196,11,True
61,RST-0199c741-7eac-54d0-a1fb-9ff13bfe7420,Khare Healthy Kitchen,Healthy,14,Budget,₹,4.43,2,0.21,22,False
62,RST-c515fb29-c5ce-590a-8f43-0f9a8e147aea,Oak South Dhaba,South Indian,10,Budget,₹,3.81,1,0.204,18,False
63,RST-55d61e7f-124f-5345-97b2-1f12c441baa1,Bhagat North Corner,North Indian,32,Mid,₹₹,4.76,8,0.237,21,True
64,RST-f071b6fb-053e-5154-a125-69ff87007d60,Nath North Express,North Indian,1,Mid,₹₹,4.45,1,0.15,23,True
65,RST-3a716ff1-c694-5790-b4d7-662c86cd85bd,Venkatesh South Cafe,South Indian,22,Budget,₹,3.55,2,0.274,20,False
66,RST-009c08f4-13b3-5df2-8ed1-d03edb78be38,Khalsa Rolls Corner,Rolls,1,Mid,₹₹,4.46,1,0.245,16,False
67,RST-a22d01e3-ef1f-559b-8243-71996abdde8e,Bora Desserts Foods,Desserts,5,Mid,₹₹,4.42,1,0.207,21,False
68,RST-0cc46a76-33da-51f3-9f02-95e2ae3800d7,Sarna Fast Kitchen,Fast Food,33,Mid,₹₹,4.37,2,0.157,8,False
69,RST-0f8fbe5e-d44a-5ccb-98c7-68c9e9f1b50c,Chandran South Restaurant,South Indian,17,Budget,₹,4.59,3,0.204,12,False
70,RST-9d86f7af-398b-5e8f-824a-be427471ca4b,Sekhon Fast Kitchen,Fast Food,3,Budget,₹,4.25,1,0.222,21,False
71,RST-fa4034da-37e7-5ed8-8339-4a131ed62d4a,Dash North Cafe,North Indian,9,Mid,₹₹,4.52,2,0.154,26,True
72,RST-97f237ab-b18f-514c-8c27-0123fa2db8e0,Chada Pizza Kitchen,Pizza,19,Mid,₹₹,4.16,22,0.219,21,False
73,RST-cfb69067-ef4f-5d36-9742-e22e26c7362e,Bhat Fast Biryani House,Fast Food,41,Mid,₹₹,5.0,2,0.238,34,False
74,RST-a42bc0d3-b2bf-5ab2-bab6-c33fd5b3f57c,Bandi North Restaurant,North Indian,14,Mid,₹₹,4.33,0,0.198,22,True
75,RST-e9a41d5c-f18f-5e5c-b71c-8e33083c1c07,Purohit Beverages Point,Beverages,1,Premium,₹₹₹,4.19,1,0.233,23,False
76,RST-206aa266-6e64-57a7-8df8-8999dd763954,Munshi Desserts Kitchen,Desserts,9,Budget,₹,3.39,1,0.225,23,True
77,RST-3c90e283-9a0b-543e-8cf9-e2fdba79bbfd,Bhattacharyya Chinese House,Chinese,2,Mid,₹₹,4.77,85,0.193,20,True
78,RST-9635daec-4682-58a7-a46f-e7c4ec581765,Datta Pizza Dhaba,Pizza,1,Premium,₹₹₹,3.52,0,0.222,24,False
79,RST-139ed559-2bf7-582e-8cca-ca8dd804ef80,Bhatia Fast Biryani House,Fast Food,12,Budget,₹,4.12,4,0.205,17,False
80,RST-0a035e8d-61b7-5128-9729-5aff3d612003,Sathe North Point,North Indian,22,Mid,₹₹,4.53,4,0.226,20,False
81,RST-6cfc6c26-7f01-5ffd-a2b9-d9e55bf639ae,Bhakta South Cafe,South Indian,1,Budget,₹,4.89,3,0.181,17,False
82,RST-48d17fc5-98a7-5999-a248-b27c3454f2ae,Mitra Pizza Junction,Pizza,23,Mid,₹₹,4.22,2,0.18,14,True
83,RST-b0578ad9-e73d-5074-bcd4-7fb7540b8540,Sankaran Street Restaurant,Street Food,18,Budget,₹,3.81,2,0.195,10,False
84,RST-35b472d7-4b99-5342-af40-44aee61ccf0a,Bhatti Fast Dhaba,Fast Food,21,Mid,₹₹,4.25,5,0.227,20,False
85,RST-a4b84a6e-034f-549d-a47e-ca9c238a335e,Chaudry Fast Dhaba,Fast Food,4,Premium,₹₹₹,4.79,2,0.249,10,False
86,RST-01dbc7aa-1d63-59d1-a138-bc852081e46a,Bhalla Pizza Biryani House,Pizza,6,Budget,₹,4.05,1,0.228,21,True
87,RST-ad254ec7-3f37-5327-a258-1223eb3319ff,Ben Biryani Junction,Biryani,2,Budget,₹,4.99,31,0.209,18,True
88,RST-49e58e5b-f8aa-52db-a45b-ac42c218e162,Menon North Restaurant,North Indian,4,Mid,₹₹,4.47,6,0.226,10,False
89,RST-0d0a7004-e7c5-5f39-8c91-7077179e6c6a,Raj Biryani Cafe,Biryani,5,Budget,₹,4.71,4,0.28,14,True
90,RST-03bea482-60ce-5f2e-8d6e-8bacfe20996b,Ratti Mughlai Express,Mughlai,5,Mid,₹₹,4.88,25,0.274,13,False
91,RST-bc7979a5-906c-5aaa-912b-9fdaf3b3a246,Char Desserts Cafe,Desserts,3,Premium,₹₹₹,4.81,15,0.236,14,False
92,RST-efe06949-99d0-55f8-9a96-7657c28ca6e7,Roy Mughlai Junction,Mughlai,3,Budget,₹,4.03,1,0.211,18,True
93,RST-733a6e58-f45a-5375-89ef-5da9f7f1285a,Kaul North Junction,North Indian,36,Budget,₹,3.9,1,0.227,28,False
94,RST-d916b223-fa3e-570e-8dc5-dfa05e166f29,Anne Biryani Corner,Biryani,23,Mid,₹₹,4.34,16,0.221,21,False
95,RST-8ac086eb-4571-517e-8efb-38c5faf2fd55,Setty Fast Kitchen,Fast Food,5,Budget,₹,3.9,2,0.198,15,False
96,RST-824cf8a1-c62c-5c9e-9b24-371a177012b8,Rajagopalan South Express,South Indian,42,Budget,₹,3.69,0,0.172,26,True
97,RST-5b50d159-6ada-52df-b2f2-c04f62fc89c0,Shetty South House,South Indian,4,Mid,₹₹,4.08,1,0.162,18,False
98,RST-49c5d6f0-37d5-591e-ae08-0fe2f5b1c417,Sangha Desserts Junction,Desserts,7,Mid,₹₹,3.97,1,0.217,12,True
99,RST-5f8f4a87-bc17-5f0f-b338-ba006bd0413e,Chaudhuri Pizza Junction,Pizza,25,Mid,₹₹,4.38,1,0.189,11,True
100,RST-a8e943e2-204f-5ded-9ef4-edf30f86f735,Nori Pizza Kitchen,Pizza,7,Mid,₹₹,3.75,1,0.257,11,False
101,RST-7abc2e90-99b4-576e-9ca5-d9a82f713710,Bal South Dhaba,South Indian,3,Mid,₹₹,4.26,5,0.181,22,False
102,RST-4d18babf-001a-54e4-9938-3e3ab859fbe3,Setty Biryani Express,Biryani,6,Premium,₹₹₹,4.99,41,0.208,15,True
103,RST-26070cc4-86c8-5a10-98c6-80be0415c086,Varughese North Dhaba,North Indian,9,Premium,₹₹₹,3.91,2,0.15,17,False
104,RST-2c748d4c-313a-5139-82ea-35c7a48ce8a1,Narasimhan North Express,North Indian,13,Premium,₹₹₹,5.0,9,0.206,15,False
105,RST-c8cd405b-d7b0-5682-928d-85f8249338a8,Hans Biryani Biryani House,Biryani,7,Budget,₹,4.08,2,0.225,21,False
106,RST-e5725f1d-fa03-54c1-a362-09287748e662,Chokshi Chinese Biryani House,Chinese,7,Premium,₹₹₹,4.38,5,0.221,19,False
107,RST-b829bc51-8ed9-5393-8b81-d46b9e5204c6,Chauhan Street Dhaba,Street Food,4,Premium,₹₹₹,3.51,1,0.28,18,True
108,RST-c4492921-4371-5f11-a4f3-981fd61f420e,Arora Biryani Junction,Biryani,10,Premium,₹₹₹,3.75,0,0.241,17,False
109,RST-8a3d1818-eee2-5fc8-8043-e74101b657c2,Bir North Restaurant,North Indian,3,Mid,₹₹,4.43,8,0.247,31,True
110,RST-a907c5c5-47d6-5572-b986-1e9a0aa9dc04,Hari North House,North Indian,31,Premium,₹₹₹,4.68,3,0.189,14,False
111,RST-36c271d7-0009-5ce7-b441-cdca7e896364,Date Rolls Express,Rolls,20,Mid,₹₹,4.61,3,0.202,12,False
112,RST-24cd25e7-44af-5c89-95cf-8fc4947dbea7,Upadhyay South Biryani House,South Indian,7,Mid,₹₹,3.64,1,0.241,10,True
113,RST-88f4779f-d4fd-5597-92f6-0bfb874a4982,Kunda South Biryani House,South Indian,20,Mid,₹₹,3.8,1,0.214,22,False
114,RST-a04585f2-1375-5118-93a2-932b17394f5e,Pant Biryani Dhaba,Biryani,1,Mid,₹₹,3.74,1,0.26,17,False
115,RST-3f4fd2a0-6f60-560f-b2bd-51595358bc65,Sama South Restaurant,South Indian,5,Mid,₹₹,5.0,4,0.189,35,False
116,RST-8cfee1b7-7d53-5ced-8e8b-591aaafa4cc2,Srivastava Fast Restaurant,Fast Food,7,Budget,₹,4.23,3,0.184,16,False
117,RST-781c292f-e8f4-52bc-95c7-fd1d4d40ce73,Saxena Biryani House,Biryani,8,Mid,₹₹,4.37,3,0.226,9,False
118,RST-3e276b91-ee40-5877-a59a-6e614bf510f5,Grewal North Corner,North Indian,20,Budget,₹,4.12,2,0.215,16,True
119,RST-547e9365-e35c-5f0b-9c62-3990e4ba8ffe,Kibe Desserts Biryani House,Desserts,45,Mid,₹₹,3.87,1,0.201,24,True
120,RST-6154096b-eae9-55d2-8eaf-78bd97ad4dbd,Devan Biryani Kitchen,Biryani,6,Mid,₹₹,4.38,2,0.244,27,False
121,RST-2eb58bcc-42de-5054-add4-61221b4ff5a3,Basu Fast Point,Fast Food,5,Premium,₹₹₹,4.6,2,0.152,26,False
122,RST-20131c81-9376-560b-b413-2e018177a730,Bhasin North Corner,North Indian,13,Mid,₹₹,4.17,2,0.253,9,False
123,RST-b7c13642-2335-5e3e-8084-b4e150640e3f,Datta Pizza Kitchen,Pizza,4,Mid,₹₹,4.65,5,0.223,10,False
124,RST-49dfb2c7-aa8d-5493-9a3e-d3a876e45a6c,Muni Chinese Corner,Chinese,2,Budget,₹,3.99,2,0.252,14,True
125,RST-eae4ccd9-6bd4-516d-8616-b91eb5e246f7,Sarin Biryani Cafe,Biryani,44,Mid,₹₹,4.76,19,0.215,9,False
126,RST-62105b0c-eccc-5f36-9643-1b13b14d432e,Varghese Chinese House,Chinese,25,Premium,₹₹₹,3.92,1,0.21,22,False
127,RST-c3f99837-eafc-552d-bcf3-1cabc3b8aa09,Parmar Healthy Junction,Healthy,44,Mid,₹₹,3.44,3,0.274,16,True
128,RST-1c68221e-8ad5-5361-94cc-700747c70742,Mukhopadhyay South Biryani House,South Indian,3,Premium,₹₹₹,4.29,9,0.224,12,False
129,RST-e3d5815c-a0d4-5ce7-9134-4ebae564e3cf,Dhingra Mughlai Biryani House,Mughlai,1,Premium,₹₹₹,4.13,3,0.204,25,False
130,RST-bf0f56c9-5721-58a1-865e-7b60f305158b,Din Mughlai Foods,Mughlai,7,Mid,₹₹,4.17,13,0.237,13,False
131,RST-48bcf146-054a-545b-be3c-1c09638958dd,Singh Biryani Restaurant,Biryani,40,Mid,₹₹,3.86,3,0.197,10,False
132,RST-737bc077-8fc5-5d04-b3fd-8f46f3bc95b0,More Chinese Kitchen,Chinese,2,Mid,₹₹,4.37,2,0.209,11,False
133,RST-ab6d8bb0-e493-5585-90c5-d1f01711555b,Oza Chinese Biryani House,Chinese,2,Mid,₹₹,4.4,4,0.185,18,False
134,RST-c3bf81cc-129b-5971-b9ab-bb9e9277c878,Manne Healthy House,Healthy,1,Budget,₹,4.28,1,0.246,15,False
135,RST-06037459-1a41-57f6-b7cf-83cf5af352ec,Pillay Fast Junction,Fast Food,22,Budget,₹,3.93,5,0.225,15,True
136,RST-1add09e5-f3d3-5c05-ab91-515e84635486,Anand Fast Express,Fast Food,23,Budget,₹,4.33,8,0.233,14,False
137,RST-2b07fe89-6ee7-5b6f-a1c1-ddba831372b2,Vasa North Foods,North Indian,17,Mid,₹₹,3.84,1,0.218,18,True
138,RST-0855dc53-ec66-527f-a8c6-ae6b55efbdad,Dhillon Beverages Junction,Beverages,1,Budget,₹,4.02,0,0.227,15,True
139,RST-2a13fa9f-2b2d-5641-9489-3d33a4dc4ea0,Bhandari North Restaurant,North Indian,19,Mid,₹₹,4.62,2,0.185,24,False
140,RST-18b9edd8-14fb-5636-b0f7-e7fdef5a0df0,Khanna North Restaurant,North Indian,8,Mid,₹₹,4.27,1,0.267,17,True
141,RST-3b179f5b-d772-5c87-ae3b-980b94123c0c,Tripathi Chinese Dhaba,Chinese,2,Mid,₹₹,4.72,4,0.18,26,False
142,RST-fd3478c6-6953-55c7-91f6-fa6de8d7fce6,Bhagat Biryani Dhaba,Biryani,4,Premium,₹₹₹,3.76,1,0.228,15,False
143,RST-53e1aaa8-5baa-5d3a-85a7-e96dfc926076,Sami Cafe Junction,Cafe,9,Mid,₹₹,4.81,1,0.252,12,True
144,RST-3acff32b-4d82-510c-b175-993bf0627db3,Padmanabhan Desserts Junction,Desserts,5,Budget,₹,3.86,2,0.238,24,False
145,RST-83a3e292-200c-53f0-b9ec-12e7e3847e5f,Hayre South Cafe,South Indian,46,Premium,₹₹₹,4.8,7,0.198,16,False
146,RST-bba22b01-87a1-57ba-9838-1f0a82b429cc,Iyer Chinese Foods,Chinese,8,Premium,₹₹₹,4.17,2,0.184,17,False
147,RST-c9123f71-841b-5968-8610-d64c7bf871ca,Jaggi Desserts Junction,Desserts,6,Mid,₹₹,3.94,1,0.208,24,False
148,RST-8605dce9-864c-5b4c-b3ca-e8a3b616ef80,Biswas Fast Biryani House,Fast Food,16,Mid,₹₹,4.62,8,0.205,12,False
149,RST-82dd543a-27af-5ae6-84db-aa4c39bba281,Om South House,South Indian,14,Budget,₹,4.49,1,0.242,18,False
150,RST-2f01185c-d310-53ab-8bd9-f23d8db72812,Gulati Biryani House,Biryani,1,Premium,₹₹₹,4.34,13,0.176,24,False
151,RST-2d88533f-0ec0-5324-9aff-af0d6eb478e9,Soni Pizza Cafe,Pizza,13,Budget,₹,4.26,2,0.242,18,False
152,RST-089c62cb-1132-59b3-887e-0d74d5d26ce1,Sibal Street Point,Street Food,4,Mid,₹₹,4.46,6,0.217,16,False
153,RST-3d32a357-1581-5af1-8c0c-a311bdd9f15e,Narula Pizza Point,Pizza,6,Budget,₹,4.28,4,0.173,10,False
154,RST-14c512f4-4c6d-5131-a1e8-3150dbc6fc48,Nayak North Corner,North Indian,18,Mid,₹₹,3.23,1,0.28,23,True
155,RST-08414c07-08f4-5f6f-9f3b-e9f394171b1a,Mistry Rolls House,Rolls,10,Budget,₹,3.96,12,0.185,10,False
156,RST-b076d267-22f2-51ea-a150-49378c33c710,Sahota South Cafe,South Indian,6,Budget,₹,4.74,2,0.157,23,False
157,RST-2f637140-5561-5815-8a3f-ab8ed6a3e1c4,Narasimhan Cafe Cafe,Cafe,3,Budget,₹,4.26,2,0.206,15,False
158,RST-4866829f-e088-55aa-bcf9-a65b5ea219e5,Gaba Chinese Junction,Chinese,9,Mid,₹₹,3.7,2,0.213,21,True
159,RST-e0801b7b-dcae-5faa-8587-cc21d48ed593,Cheema South Cafe,South Indian,5,Budget,₹,3.57,1,0.224,16,False
160,RST-e2352a15-3af7-5cff-829e-30d2a8fee337,Sha Biryani Cafe,Biryani,37,Mid,₹₹,4.11,2,0.231,27,False
161,RST-7fbad617-1153-507c-a178-43b4369c2dbf,Basak South Biryani House,South Indian,10,Mid,₹₹,4.09,2,0.182,19,False
162,RST-02eb2258-cb12-595e-abad-7846ea799312,Tandon South Foods,South Indian,31,Mid,₹₹,4.4,1,0.223,18,False
163,RST-99f8c145-e514-57a3-ab51-4bc004e77bbc,Kanda Fast Restaurant,Fast Food,6,Budget,₹,4.51,1,0.2,19,True
164,RST-641f6167-e512-5637-9042-5b1eee84b691,Aggarwal Desserts Foods,Desserts,27,Premium,₹₹₹,4.42,13,0.163,11,True
165,RST-bd13c1ea-8110-5367-8e34-81485ba1a219,Kapoor Beverages Junction,Beverages,1,Mid,₹₹,4.48,37,0.262,8,True
166,RST-ccc84591-422e-5a5e-bf17-0bbcb84d82e8,Karpe Biryani Kitchen,Biryani,4,Budget,₹,4.29,2,0.21,19,False
167,RST-ab7f7ade-956a-578e-8990-5cfc80935b4d,Shukla North Corner,North Indian,1,Budget,₹,4.23,1,0.247,21,False
168,RST-86fa20b0-2ec8-5a01-ba6a-36d67ea71ec7,Kala Biryani Dhaba,Biryani,1,Budget,₹,4.83,2,0.184,22,True
169,RST-2261e440-2e9e-5412-8aed-f07ea7265e51,Khare Biryani Foods,Biryani,38,Budget,₹,3.95,1,0.191,28,False
170,RST-912fc741-a837-5757-ad5d-d79beeb9f4ae,Srivastava South Kitchen,South Indian,18,Budget,₹,3.06,0,0.18,20,False
171,RST-6d78d45e-7ace-5c9b-bf62-ba047ad831ea,Narula Cafe Cafe,Cafe,13,Premium,₹₹₹,4.79,1,0.256,18,False
172,RST-84d9db3c-33d8-525d-aad9-80f0072117d8,Prashad Street Kitchen,Street Food,10,Mid,₹₹,4.78,9,0.209,8,False
173,RST-0893f014-7f68-5c5e-a98c-722a2b0d5454,Jha North Cafe,North Indian,11,Budget,₹,3.89,1,0.238,25,True
174,RST-56ad632f-fba9-56ad-8c0c-2107de6972bf,Ratta Desserts Cafe,Desserts,14,Mid,₹₹,4.69,1,0.192,8,False
175,RST-2f8db367-ffb0-58e2-9f05-2c1e97fe31c8,Gour Pizza Junction,Pizza,27,Budget,₹,3.08,1,0.167,9,False
176,RST-7a51a62b-ab7b-5f9d-b726-2543394f0356,Ahuja South Corner,South Indian,12,Budget,₹,4.36,1,0.21,21,False
177,RST-3004f13e-e203-5f20-8a4c-75f24af26854,Patil Pizza Express,Pizza,20,Budget,₹,3.41,1,0.189,11,False
178,RST-3872dde7-f6e3-50a9-8ef0-2e42c8f040d6,Anne North Point,North Indian,4,Budget,₹,4.82,5,0.15,13,False
179,RST-a3019c7e-9f17-5e19-8b5f-4b1cba0088a4,Borah North House,North Indian,46,Budget,₹,5.0,23,0.197,30,True
180,RST-33feef54-2522-5122-9b7d-57a8a4bef5b5,Parmar Healthy Kitchen,Healthy,1,Premium,₹₹₹,4.27,8,0.202,32,False
181,RST-8afeceed-e0e3-5d7f-8c39-19e2d153ebd3,Balan Pizza Restaurant,Pizza,6,Mid,₹₹,4.12,2,0.238,6,False
182,RST-8501facb-9ed0-58bd-b021-09794a86f38c,Contractor South Junction,South Indian,33,Mid,₹₹,4.02,1,0.225,27,False
183,RST-9940ebf6-e988-5405-9e93-59a7b8dc1372,Dhar Biryani Junction,Biryani,3,Budget,₹,3.12,1,0.203,26,True
184,RST-b0b1323d-491d-5ee1-9e95-27b7b29b6ded,Mannan Street Express,Street Food,2,Premium,₹₹₹,4.42,2,0.188,23,False
185,RST-9f43f1f8-a28e-5bc8-96c5-c8cc7964559c,Sarraf Biryani House,Biryani,6,Mid,₹₹,4.59,19,0.205,21,False
186,RST-9e67a625-f7b5-5c27-b600-efd67951f520,Hayer Mughlai House,Mughlai,7,Budget,₹,4.56,38,0.239,22,True
187,RST-b0b45132-c3e5-5d84-8830-ecb977bd870e,Parsa Cafe Biryani House,Cafe,40,Mid,₹₹,4.05,1,0.175,12,False
188,RST-5a4ded05-e618-5721-a998-0da54ec61407,Bassi Chinese Foods,Chinese,28,Budget,₹,4.8,34,0.198,22,True
