customer_key,customer_id,signup_date,gender,age_group,city_key,city,persona,is_gold_member,device_preference,marketing_channel
89,CUST-964d1aa3-d618-557f-9eab-96b0e9f8c4e1,2023-11-26,Female,35-44,10,Ahmedabad,occasional,True,Android,Organic
90,CUST-0ed90e63-5a79-58a2-b85d-b2b4c729fbda,2026-01-19,Male,25-34,8,Gurugram,occasional,False,Android,Organic
91,CUST-1004295e-bdc6-56bf-95a3-f442fc41c46b,2025-10-12,Female,18-24,3,Mumbai,value_seeker,False,iOS,Organic
92,CUST-e67f4222-adc4-5343-a467-86a1d77bfdab,2025-02-11,Female,25-34,4,Hyderabad,occasional,False,Android,Referral
93,CUST-91cf8e2a-08b1-5415-b16b-353b0ab99d22,2025-04-18,Male,45-54,49,Jamshedpur,habitual_regular,True,iOS,Organic
94,CUST-986da103-00c9-590d-aa80-1bd5e39e5477,2025-06-24,Male,25-34,26,Mysuru,habitual_regular,True,Android,Referral
95,CUST-f81392fc-1e3c-53b6-95a8-4c9dcfbb01d4,2024-08-14,Male,45-54,6,Chennai,occasional,False,Android,Offers/CRM
96,CUST-a4f2228c-4a3a-596b-a3a7-8695e64a49f9,2025-12-31,Female,25-34,3,Mumbai,premium_foodie,True,Android,Referral
97,CUST-b6bdf342-304c-5344-a8bf-0fa98916f456,2024-01-07,Male,18-24,5,Pune,value_seeker,True,Android,Referral
98,CUST-069f94fd-6c55-50a7-b86e-b81c15c00b51,2024-01-05,Male,35-44,5,Pune,value_seeker,False,Android,Organic
99,CUST-8850e70f-18f8-5c81-b90c-b2a0e474f6e2,2025-08-03,Female,45-54,29,Ranchi,value_seeker,False,Android,Referral
100,CUST-d20d843e-bf53-5e7f-a019-016315040d03,2024-09-05,Female,25-34,5,Pune,premium_foodie,False,iOS,Instagram Ads
101,CUST-02b15092-3404-56c5-a5fb-fa0ed29c5a1c,2023-02-09,Male,25-34,12,Lucknow,habitual_regular,False,Web,Push Notification
102,CUST-c5751931-8348-5090-b8c0-21a6445d5eb6,2025-08-28,Female,18-24,34,Jodhpur,occasional,False,iOS,Referral
103,CUST-462bfaad-1ffe-557c-a489-6a4bdef36249,2026-01-07,Male,25-34,13,Chandigarh,value_seeker,False,iOS,Offers/CRM
104,CUST-8c111e2b-40db-50fe-90fb-42d192fac700,2025-09-19,Male,35-44,44,Jalandhar,occasional,False,Android,Offers/CRM
105,CUST-4f208640-065e-5b9e-8fe9-676e9f589806,2025-02-17,Male,25-34,1,Bengaluru,habitual_regular,False,Android,Instagram Ads
106,CUST-6451745c-c443-50cc-8a9d-5ba09fc51634,2025-10-11,Female,25-34,44,Jalandhar,value_seeker,False,Android,Offers/CRM
107,CUST-3657fa81-a8eb-5c3b-945e-bddf5165e2e2,2025-01-11,Male,18-24,43,Warangal,value_seeker,False,iOS,Instagram Ads
108,CUST-b62b2fe8-e060-567f-8d8e-ecad8e72f868,2025-08-29,Male,25-34,9,Noida,premium_foodie,True,Android,Instagram Ads
109,CUST-9f35d437-1e48-5289-913b-aeae6d0faebf,2024-12-16,Male,25-34,32,Amritsar,night_owl,True,iOS,Referral
110,CUST-0efe1606-7d4e-507c-9aa6-544207a938c7,2025-11-08,Male,35-44,39,Vijayawada,occasional,False,iOS,Organic
111,CUST-6c4e1e46-d6a9-542f-bd8d-1ced7fe549c3,2026-05-22,Female,18-24,39,Vijayawada,occasional,False,Android,Organic
112,CUST-2560cf52-e086-59c9-9cbe-125ca1d223cc,2025-11-18,Male,18-24,16,Coimbatore,occasional,False,Android,Instagram Ads
113,CUST-d078da88-f7e3-545a-8e49-a29d421ab540,2025-07-12,Female,35-44,37,Agra,habitual_regular,False,iOS,Offers/CRM
114,CUST-950baba8-d1d6-5bfa-8150-f5a30d714329,2023-11-29,Female,18-24,3,Mumbai,premium_foodie,True,iOS,Referral
115,CUST-56cb18f4-2e24-5aa1-b51e-6b3d783f03b0,2023-09-02,Female,18-24,10,Ahmedabad,occasional,False,Android,Organic
116,CUST-7a481b40-6a99-52a8-a2f1-e200f2fd1956,2023-02-19,Female,25-34,37,Agra,premium_foodie,False,Android,Push Notification
117,CUST-e6749d66-509c-5ad7-83ef-ce8be0c16119,2025-03-11,Male,25-34,50,Meerut,night_owl,False,Android,Organic
118,CUST-e77f958d-a666-5cd5-9473-8caa453cde74,2024-06-28,Female,45-54,31,Dehradun,premium_foodie,True,iOS,Organic
119,CUST-0cfbb0be-503b-59b2-9860-ff75899cc870,2024-01-09,Male,45-54,1,Bengaluru,premium_foodie,False,Android,Offers/CRM
120,CUST-604f0793-6dc6-57d6-8250-c683877200bd,2024-06-08,Male,18-24,50,Meerut,habitual_regular,True,Android,Organic
121,CUST-7192b081-01f7-51fc-9692-374c1863cbd0,2026-06-01,Female,35-44,23,Nashik,habitual_regular,True,Android,Organic
122,CUST-4e944ce8-1c39-5182-8ca0-bdcc76c23a60,2024-04-03,Male,18-24,45,Aurangabad,habitual_regular,True,iOS,Google Ads
123,CUST-8f71157b-2e2e-51ac-8b89-abe73427cfc9,2025-04-23,Male,35-44,19,Bhubaneswar,habitual_regular,False,Android,Organic
124,CUST-c226f87f-6755-5b75-a30f-88efb5038629,2026-06-15,Female,25-34,2,Delhi,occasional,False,Android,Organic
125,CUST-04cbb04b-9712-5ba0-8f9f-5f6656f9053e,2023-11-15,Male,18-24,26,Mysuru,habitual_regular,True,iOS,Referral
126,CUST-68840d3e-bbfb-501c-a205-f977d9e66144,2024-05-11,Female,18-24,9,Noida,habitual_regular,False,iOS,Referral
127,CUST-a51a0181-9222-54c2-b3c4-7fe3d27e8e2e,2025-07-05,Male,18-24,5,Pune,premium_foodie,True,iOS,Google Ads
128,CUST-92d07322-879a-550c-a400-9075c7b33cda,2025-11-05,Female,18-24,1,Bengaluru,occasional,False,Android,Push Notification
129,CUST-43a155f3-e2a2-59a6-b848-a72f2a2ff061,2026-02-15,Male,18-24,3,Mumbai,habitual_regular,True,Android,Organic
130,CUST-a1822492-ba12-53b8-876a-7374b62bc0c3,2025-09-16,Female,25-34,3,Mumbai,premium_foodie,False,Android,Instagram Ads
131,CUST-ede72774-fc98-55d3-942c-5f18da3afbdd,2023-03-23,Male,25-34,1,Bengaluru,habitual_regular,False,Android,Push Notification
132,CUST-02dc0712-12b6-5eaa-83ab-c409f5948273,2024-03-25,Male,25-34,9,Noida,night_owl,False,Android,Organic
133,CUST-2f35c5cc-bd94-5b32-b0b4-b53508dd3a21,2025-05-19,Female,25-34,3,Mumbai,value_seeker,True,iOS,Organic
134,CUST-809b9a1b-490d-58bb-a86a-01a41c880273,2023-10-30,Female,18-24,5,Pune,occasional,False,Android,Organic
135,CUST-cffd76b6-11a3-53b5-a636-1bf4db27b50a,2023-11-14,Female,35-44,19,Bhubaneswar,value_seeker,False,iOS,Google Ads
136,CUST-4f95b7d6-8922-5d47-8251-6a301e57684b,2026-01-12,Male,25-34,3,Mumbai,occasional,False,iOS,Google Ads
137,CUST-5b9e7b4c-4b59-59d7-9776-4b41d3fd620b,2025-11-23,Male,18-24,5,Pune,value_seeker,False,Android,Referral
138,CUST-4e9a30f1-b890-5088-a9f7-eb705162cd68,2024-02-29,Male,18-24,5,Pune,night_owl,False,Android,Push Notification
139,CUST-04024106-e453-532b-9a9b-6a00112ab2be,2025-03-11,Male,18-24,13,Chandigarh,value_seeker,False,Android,Push Notification
140,CUST-71280fb4-ec2e-592e-9c23-090823670ba3,2026-06-13,Female,25-34,43,Warangal,occasional,False,Android,Instagram Ads
141,CUST-e1bf50d2-cf36-54b4-a4a7-1b4dfad1b9cf,2025-07-06,Male,18-24,27,Mangaluru,habitual_regular,True,Android,Organic
142,CUST-d0046166-5958-542d-a858-60bd418e0b39,2025-11-03,Male,55+,3,Mumbai,habitual_regular,False,Android,Push Notification
143,CUST-c2dab205-177f-57a4-8f05-b3d4aed517ef,2025-09-09,Female,25-34,12,Lucknow,premium_foodie,False,Android,Instagram Ads
144,CUST-18396834-5375-5b58-8191-0492ab080ce4,2024-12-18,Female,18-24,15,Indore,value_seeker,False,Android,Organic
145,CUST-34435f19-f083-5213-b367-2593534d170f,2026-01-16,Female,18-24,4,Hyderabad,habitual_regular,False,iOS,Organic
146,CUST-880395ed-8f29-5bc3-8ca7-010c4dee3538,2023-08-07,Female,25-34,1,Bengaluru,value_seeker,False,Android,Google Ads
147,CUST-daabc405-a43b-5371-a978-90ad5262a43b,2025-07-22,Female,25-34,10,Ahmedabad,value_seeker,False,Android,Organic
148,CUST-69eca667-a8b9-562c-b36c-0deb717b9ca3,2024-12-09,Female,25-34,32,Amritsar,occasional,False,Android,Organic
149,CUST-656444ea-eeff-5d66-8a42-5a68a3614513,2026-03-07,Female,35-44,2,Delhi,habitual_regular,True,iOS,Organic
150,CUST-5b2ac5ff-34f8-595b-8ceb-4614fd5655d9,2025-08-04,Male,25-34,5,Pune,night_owl,False,Android,Organic
151,CUST-20a9d8db-4429-592c-836c-dd4d2a7aba18,2024-06-29,Male,25-34,5,Pune,value_seeker,False,iOS,Google Ads
152,CUST-5af963eb-5970-529b-b46b-79b2d2225b10,2025-11-30,Male,25-34,11,Jaipur,night_owl,False,iOS,Instagram Ads
153,CUST-c8e0fece-b3e8-56ea-8ae1-8bfcfb70b6aa,2024-11-22,Female,55+,4,Hyderabad,value_seeker,False,Android,Organic
154,CUST-8684977d-4182-5ac2-84fc-3bf994e8ae6d,2025-12-13,Female,25-34,22,Bhopal,occasional,False,Android,Referral
155,CUST-938a80fa-3491-5788-85df-5575ef3a7189,2023-10-15,Female,25-34,7,Kolkata,occasional,False,Android,Organic
156,CUST-a3d7ea47-1413-52a2-b9b5-ed665fdee273,2024-10-26,Male,55+,25,Thiruvananthapuram,value_seeker,True,Android,Google Ads
157,CUST-5bf684bc-9a23-50d6-8d4e-241360677786,2025-06-12,Female,35-44,18,Surat,value_seeker,False,Android,Referral
158,CUST-e77145fd-8e04-5ea8-a881-85ff3eb4e5f6,2023-11-01,Female,18-24,8,Gurugram,value_seeker,False,Android,Referral
159,CUST-61b30bf1-a900-5441-a0ed-80a5a07d6f07,2025-03-23,Male,35-44,10,Ahmedabad,night_owl,False,Android,Organic
160,CUST-ecfe7725-0acd-55de-a43c-87ba1939fcef,2026-03-12,Male,18-24,11,Jaipur,night_owl,True,iOS,Organic
161,CUST-5a26803f-8ff4-5511-8be6-73d082559555,2023-07-05,Male,25-34,18,Surat,value_seeker,False,iOS,Referral
162,CUST-ab16f18e-7efa-5035-9e2d-6ce60d025d1f,2025-01-08,Male,18-24,34,Jodhpur,value_seeker,False,Web,Google Ads
163,CUST-246dc277-aad1-504e-8db6-dedb0de264c3,2025-12-28,Male,45-54,30,Raipur,value_seeker,False,Android,Push Notification
164,CUST-440ca505-9dc1-524e-8155-e5b58e5f7fd9,2023-10-22,Other,18-24,21,Visakhapatnam,value_seeker,True,Android,Organic
165,CUST-da43dff0-19ba-5315-9840-5dc821fb2e13,2023-06-03,Male,18-24,6,Chennai,habitual_regular,True,Web,Instagram Ads
166,CUST-363200ae-7b66-50c8-86b3-d9b8b9ec33d1,2025-02-28,Male,18-24,25,Thiruvananthapuram,occasional,True,iOS,Google Ads
167,CUST-e52bc53c-45e2-5d76-ac01-6ef9c1428329,2026-05-13,Male,18-24,46,Patna,occasional,False,Android,Instagram Ads
168,CUST-87283303-5b1e-59ef-aaa0-d6c0378192ae,2025-09-12,Female,25-34,5,Pune,value_seeker,False,Android,Organic
169,CUST-56da19b1-e2f5-5c9c-81f5-c726ee6e46f7,2026-02-21,Female,25-34,15,Indore,premium_foodie,True,Android,Instagram Ads
170,CUST-9692584e-d5ee-504e-84de-257af1f3a14a,2026-05-06,Female,45-54,20,Vadodara,habitual_regular,False,iOS,Referral
171,CUST-ca619eb6-70c7-5996-8b7b-a32ffc94821d,2025-04-03,Female,45-54,22,Bhopal,occasional,False,Android,Organic
172,CUST-577c1fd1-55b3-5ca4-a46b-73fc56d11a70,2023-07-23,Male,18-24,15,Indore,value_seeker,False,Web,Google Ads
173,CUST-dfe56fa0-6b07-539c-96a2-23a516b03669,2023-09-28,Male,25-34,6,Chennai,habitual_regular,True,iOS,Instagram Ads
174,CUST-b2a4f338-1197-5130-a69d-263158478dde,2025-10-28,Female,18-24,13,Chandigarh,habitual_regular,False,Android,Push Notification
175,CUST-55c0618a-dafe-556c-9794-5d23dd28013e,2025-09-16,Male,25-34,6,Chennai,value_seeker,False,Android,Google Ads
176,CUST-b9d31aa9-8c85-5e0d-8568-b5e313205adf,2024-04-17,Female,25-34,40,Guntur,occasional,False,Android,Referral
177,CUST-21ce602f-3886-538a-82d9-b2bd1d9d5ff0,2025-11-26,Male,35-44,27,Mangaluru,value_seeker,False,Android,Referral
178,CUST-3850a656-5a6c-5d83-a9cc-5ae68566d4c5,2024-05-10,Female,25-34,1,Bengaluru,habitual_regular,True,iOS,Organic
179,CUST-6c4d8372-7844-52c9-8490-04146db4a56b,2025-06-04,Female,18-24,6,Chennai,premium_foodie,True,Android,Referral
180,CUST-fb440c5a-3225-5282-a464-99cd601485f4,2024-10-31,Female,25-34,9,Noida,premium_foodie,True,Android,Offers/CRM
181,CUST-1337a0ec-e4e3-5174-8a8c-c36faef71efa,2025-10-19,Female,25-34,20,Vadodara,value_seeker,True,Android,Instagram Ads
182,CUST-8faa39d2-9936-5758-8f01-3118e0f219e1,2025-10-06,Male,35-44,12,Lucknow,occasional,False,Web,Google Ads
183,CUST-b7917013-4b16-5d02-aeb0-dda7688b7ed2,2026-01-22,Male,45-54,39,Vijayawada,premium_foodie,True,Web,Organic
184,CUST-068a1572-be7b-5fc7-ac78-a5a2edee50f7,2024-07-12,Female,25-34,20,Vadodara,occasional,False,iOS,Organic
185,CUST-aa9ea59d-b0ad-565d-82f4-69f1a14a1b28,2024-11-27,Female,35-44,14,Kochi,night_owl,True,Android,Referral
186,CUST-52cf6964-8ba7-52ec-9f69-4c6f5c9dd11b,2024-04-12,Male,35-44,16,Coimbatore,occasional,False,Android,Organic
187,CUST-657bc41a-957e-5422-8a5b-c8fc61ff2d9b,2025-04-21,Male,18-24,37,Agra,value_seeker,False,Android,Push Notification
188,CUST-fc1494a4-643a-5c8a-9a96-d819a10838ca,2023-05-15,Female,25-34,9,Noida,occasional,False,iOS,Organic
189,CUST-e1fdf8b3-f0ee-5150-a99b-f187a007f148,2026-03-23,Male,18-24,10,Ahmedabad,value_seeker,True,Android,Offers/CRM
190,CUST-6c19539c-da15-5699-bfdb-96d3e99ba7e6,2024-10-01,Male,35-44,25,Thiruvananthapuram,habitual_regular,True,Android,Google Ads
191,CUST-8b1f622a-b31f-5991-9627-189cbd590a02,2024-09-16,Male,25-34,4,Hyderabad,habitual_regular,False,Android,Organic
192,CUST-b66b042b-b282-5fe2-84f0-71d98ef2fd8f,2024-12-10,Male,25-34,9,Noida,habitual_regular,False,Android,Organic
193,CUST-ba00f08e-31cc-5ab9-902b-52f23aa0bc21,2024-09-15,Male,35-44,23,Nashik,value_seeker,False,Android,Instagram Ads
194,CUST-d32d6021-3cc7-5892-8644-e5b4fd5c54b9,2025-09-14,Female,18-24,20,Vadodara,premium_foodie,True,Android,Instagram Ads
